doi,sentence
10.1016/j.dib.2021.107725,"Nearly 200,000 synthetic Lagrangian trajectories were transported and saved for each sub-domain.Data source locationInstitution: French National Institute for Agriculture, Food, and Environment (INRAE)City/Town/Region: RennesCountry: FranceData accessibilityRepository name: Data INRAEDirect URL to data: https://doi.org/10.15454/GLNRHKInstructions for accessing these data: Free accessRelated research articleAli Rahimi Khojasteh, Yin Yang, Dominique Heitz, and Sylvain Laizet, “Lagrangian coherent track initialization”, Physics of Fluids 33, 095113 (2021) [2]https://doi.org/10.1063/5.0060644"
10.1111/gcb.15203,"For the purpose of this experiment, we used data from the FLUXNET2015 dataset (http://fluxnet.fluxdata.org) and, as an additional comparison, a synthetic dataset generated by the MUlti‐layer Simulator of the Interactions between a vegetation Canopy and the Atmosphere (MuSICA) process‐based model (Ogée, Brunet, Loustau, Berbigier, & Delzon, 2003, see section S4)."
10.1371/journal.pcbi.1007671,The MATLAB files used to generate synthetic data from each of these clock models can be downloaded at https://github.com/mathiasfoo/essystemplantcircadian.
10.1038/srep20732,The registration performance of Atlas Toolkit was directly compared with that of BrainAligner5 (http://penglab.janelia.org/proj/brainaligner/) and CMTK9 (http://www.nitrc.org/projects/cmtk) using the same synthetic dataset.
10.1038/s41597-022-01124-9,In order to validate the income estimates in our synthetic data we compare results with the 2018 income estimates for small areas (IESA) (https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/datasets/smallareaincomeestimatesformiddlelayersuperoutputareasenglandandwales) for England and Wales published by ONS (no equivalent is available for Scotland).
10.1186/s13059-021-02445-5,The Poisson modified synthetic data sets and the code to generate the simulated datasets have been deposited in Github: https://github.com/siyao-liu/MultiK [62] and Zenodo: 10.5281/zenodo.5138967 [66].
10.1016/j.neuroimage.2018.01.003,"All the codes for mixture modeling and validation in synthetic datasets, are available at GitHub: https://github.com/FabianWalocha/Thresholding-functional-connectomes-by-means-of-Mixture-Modeling-"
10.1371/journal.pone.0172323,"In order to make the synthetic datasets similar to a realistic situation, we assume the distribution for different types of objects that appear in a relationship to follow Zipf’s law (see details https://en.wikipedia.org/wiki/Zipf%27s_law)."
10.1038/s41467-021-26246-3,"The protein databases downloaded from Swiss-Prot/UniProt (https://www.uniprot.org/, access date 2018-08) were used for each sample after replacing the “N” in the sequon N-X-S/T/C (X ≠ P) with “J” (as potential glycosites) in all protein sequences: (i) for the fission yeast sample, the protein database with species of S. pombe (5140 entries) was used; (ii) for the budding yeast sample, the protein database with species of S. cerevisiae (6721 entries) was used; for the human serum sample, the protein database with species of Homo sapiens (20,398 entries) was used; (iii) for the mixed organism samples, the protein databases with species of S. cerevisiae and H. sapiens were combined; (iv) for the synthetic glycopeptide sample, a protein database containing 11 entries from H. sapiens and Mus musculus corresponding to the synthetic peptide sequences was used."
10.1371/journal.pone.0258400,The script we used for this process was implemented in python and is publicly available at: https://github.com/Aifred-Health/DPNN_Experiment/tree/master/Experiment/Synthetic_Data_Experiment.
10.1140/epjds/s13688-021-00306-6,The synthetic mobility datasets generated and analysed in this study are available in the OpenScienceFramework (OSF) repository https://osf.io/3rzh8/.
10.1371/journal.pone.0253214,The synthetic image and the real image datasets can be found at: https://doi.org/10.17605/OSF.IO/Y46W5.
10.1016/j.cels.2020.11.005,"(2019)


https://www.iedb.org/database_export_v3.php



IEDB-derived multi-allelic benchmark samples
This paper
Table S2; https://github.com/bravib/rbm-mhc/tree/master/data/Multiallelic_Synthetic_individuals








Software and Algorithms








RBM-MHC
This paper

https://github.com/bravib/rbm-mhc



NetMHCpan4.0

Jurtz et al."
10.1093/bioinformatics/btaa865,The synthetic datasets and programs for evaluating the sensitivity of processing the data are available at https://github.com/morisUtokyo/mTR.
10.1093/bioinformatics/btaa865,Programs for generating the synthetic datasets and for evaluating the sensitivity of processing the data are available at https://github.com/morisUtokyo/mTR.
10.3390/s20195492,"In this article, we propose Recurrent BIM-PoseNet (A Keras implementation can be found at https://github.com/debaditya-unimelb/RecurrentBIM-PoseNet), a deep Bayesian recurrent CNN that utilises synthetic image sequences obtained from a BIM, thereby eliminating the requirement of 3D reconstruction of the indoor spaces."
10.3390/s20195492,Synthetic images (The synthetic and the real datasets with their corresponding ground-truth poses are available at https://melbourne.figshare.com/articles/UnimelbCorridorSynthetic_zip/10930457) are obtained by rendering from a 3D model using different texture and lighting options.
10.1038/s41598-019-46607-9,"To evaluate large-scale coral patterns associated with long-term temperature conditions, we obtained the HadISST 1 × 1 geographic degree temperature tiles40 for the Galápagos, which provide a synthetic temperature record from 1870 to the present (from https://coastwatch.pfeg.noaa.gov)."
10.1371/journal.pcbi.1006078,"For the clustering of the synthetic motif data we used the EdEN graph kernel with DB-SCAN, surveying over possible values for the DB-Scan parameter threshold (http://scikit-learn.org/stable/modules/generated/sklearn.cluster.DBSCAN.html), which specifies the minimal similarity for two data points to be in the same cluster."
10.1186/s13007-018-0273-z,"The full datasets, as well as several alternative versions, are downloadable at https://figshare.com/articles/SATLC-28-09-17_zip/5450080.Table 1Real and synthetic training datasetsDatasetNumber of imagesRange of leaf countsAccessionsImage sizeScale\documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym} 
				\usepackage{amsfonts} 
				\usepackage{amssymb} 
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$^{\mathrm{a}}$$\end{document}aBackgroundAra201212012–20Col-0Varied1:1Soil/trayAra2013-Canon1655–13Col-0/mutantsVaried1:1SoilS1100012–20N/A
\documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym} 
				\usepackage{amsfonts} 
				\usepackage{amssymb} 
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$256 \times 256$$\end{document}256×256
1:1–1:2SoilS210005–13N/A
\documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym} 
				\usepackage{amsfonts} 
				\usepackage{amssymb} 
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$256 \times 256$$\end{document}256×256
1:1–1:2SoilS1210005–20N/A
\documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym} 
				\usepackage{amsfonts} 
				\usepackage{amssymb} 
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$256 \times 256$$\end{document}256×256
1:1–1:2Varied\documentclass[12pt]{minimal}
				\usepackage{amsmath}
				\usepackage{wasysym} 
				\usepackage{amsfonts} 
				\usepackage{amssymb} 
				\usepackage{amsbsy}
				\usepackage{mathrsfs}
				\usepackage{upgreek}
				\setlength{\oddsidemargin}{-69pt}
				\begin{document}$$^{\mathrm{a}}$$\end{document}a Scale denotes the ratio of the plant diameter to the image size"
10.1038/s41598-017-13930-y,"The synthetic data sets generated in this work are available from the corresponding authors’ web sites, http://www.escience.cn/people/dulei/code.html and http://www.iu.edu/ shenlab/tools/ncscca/."
10.1093/bioinformatics/btx631,"To illustrate the output generated by countsimQC, we use two recently published R packages [the ’splat’ framework from splatter (v1.0.2) (Zappia et al., 2017) and powsim (v1.0.1) (Vieth et al., 2017)] to generate synthetic single-cell RNA-seq count matrices from an underlying, experimentally obtained count matrix [GSE48968-GPL13112 (Shalek et al., 2014)], downloaded from the conquer repository [http://imlspenticton.uzh.ch:3838/conquer/ (Soneson and Robinson, 2017)]."
10.1093/bioinformatics/btx631,"The full report of the comparison summarized in Figure 1, as well as additional example reports for various types of real and synthetic count datasets can be accessed from https://github.com/csoneson/countsimQC."
10.1186/1756-0500-5-275,"This synthetic data set is derived from the combined set of gene models, publically available from the Joint Genome Institute (http://genome.jgi.doe.gov/), for the fungus Laccaria bicolor and the plant Populus tremuloides (68164 total gene models)."
10.1371/journal.pcbi.0040027,"Synthetic images of cars and planes were generated using POV-Ray, a free, high-quality ray tracing software package (http://www.povray.org)."
10.1186/1471-2105-14-10,An implementation of our algorithm in Python together with all synthetic datasets is available at https://sourceforge.net/projects/corpusredundanc.
10.1186/1471-2105-14-10,aA Python implementation of our algorithm as well as all synthetic datasets are available at https://sourceforge.net/projects/corpusredundanc
10.1186/1471-2105-13-194,CLAG on the 128-dimensional synthetic dataset.A: the 128-dimensional dataset contains 1024 points and 16 clusters generated with a gaussian distribution (http://cs.joensuu.fi/sipu/datasets/DIM128.txt).
10.1186/1471-2105-13-194,Six multi-dimensional synthetic datasets were downloaded from http://cs.joensuu.fi/sipu/datasets/.
10.1186/1471-2105-14-S7-S2,"FusionMap http://www.omicsoft.com/fusionmap/#Home developers provide a synthetic dataset of simulated paired-end RNA-Seq reads (~60,000 pairs of reads, 75 nt, fragment size = 158 bp)."
10.1186/1471-2164-14-S4-S2,The synthetic datasets are generated artificially and the other three real datasets can be found on http://www.ra.cs.uni-tuebingen.de/software/EDISA/downloads/index.htm.
